date,views,views_unique,clones,clones_unique
2026-07-04,0,0,0,0
2026-07-05,0,0,0,0
2026-07-06,0,0,0,0
2026-07-07,0,0,0,0
2026-07-08,0,0,0,0
2026-07-09,0,0,0,0
2026-07-10,0,0,0,0
2026-07-11,0,0,0,0
2026-07-12,0,0,0,0
2026-07-13,0,0,0,0
2026-07-14,2,1,3,3
2026-07-15,79,12,75,41
2026-07-16,48,12,50,23
2026-07-17,91,34,5,5
2026-07-18,142,8,96,45
2026-07-19,44,5,16,12
2026-07-20,6,2,14,9
2026-07-21,4,1,12,12
2026-07-22,22,1,17,10
2026-07-23,66,3,24,15
2026-07-24,8,2,5,4
2026-07-25,0,0,1,1
2026-07-26,1,1,2,2
2026-07-27,8,3,2,1
2026-07-28,2,1,3,3
2026-07-29,0,0,0,0
2026-07-30,1,1,0,0
2026-07-31,11,2,4,4
2026-08-01,0,0,2,2
2026-08-02,1,1,0,0
2026-08-03,1,1,0,0
2026-08-04,0,0,1,1
2026-08-05,6,1,0,0
2026-08-06,1,1,0,0
2026-08-07,0,0,0,0
2026-08-08,1,1,2,2
2026-08-09,0,0,0,0
2026-08-10,0,0,0,0
2026-08-11,3,3,4,4
2026-08-12,1,1,0,0
2026-08-13,0,0,0,0
2026-08-14,0,0,0,0
2026-08-15,0,0,0,0
2026-08-16,1,1,2,1
2026-08-17,1,1,0,0
2026-08-18,0,0,2,2
2026-08-19,0,0,0,0
2026-08-20,0,0,0,0
2026-08-21,2,2,6,6
2026-08-22,0,0,0,0
2026-08-23,0,0,1,1
2026-08-24,0,0,2,2
2026-08-25,0,0,3,3
2026-08-26,0,0,0,0
2026-08-27,0,0,2,2
2026-08-28,0,0,2,2
2026-08-29,0,0,0,0
2026-08-30,0,0,3,3
2026-08-31,0,0,5,3
2026-09-01,0,0,5,3
2026-09-02,0,0,1,1
2026-09-03,1,1,1,1
2026-09-04,0,0,1,1
2026-09-05,0,0,1,1
2026-09-06,0,0,2,2
2026-09-07,0,0,0,0
2026-09-08,0,0,1,1
2026-09-09,0,0,1,1
2026-09-10,0,0,2,2
